i,j,k,kx_mD,ky_mD,kz_mD
1,1,1,524.14533116,524.06290646,49.99999990
2,1,1,523.17879440,523.34578569,49.99999990
3,1,1,524.51277411,523.94921505,49.99999990
4,1,1,524.99999892,524.00460057,49.99999990
5,1,1,524.99999892,524.62834418,49.99999990
1,2,1,523.37745289,523.15439660,49.99999990
2,2,1,521.41880487,521.34182040,49.99999990
3,2,1,521.83383748,521.62477550,49.99999990
4,2,1,521.97522278,519.92727440,49.99999990
5,2,1,524.25809787,520.84755569,49.99999990
1,3,1,523.96511276,524.45065241,49.99999990
2,3,1,521.68099124,521.75290221,49.99999990
3,3,1,516.46919205,516.32337447,49.99999990
4,3,1,518.07865948,512.22520532,49.99999990
5,3,1,522.52381558,513.18426570,49.99999990
1,4,1,524.01405686,524.99999892,49.99999990
2,4,1,519.99226471,521.89948925,49.99999990
3,4,1,512.41256262,517.95203120,49.99999990
4,4,1,506.49807121,506.19391090,49.99999990
5,4,1,515.06371761,488.10530363,49.99999990
1,5,1,524.62900115,524.99999892,49.99999990
2,5,1,520.91316921,524.23329284,49.99999990
3,5,1,513.37036756,522.47448000,49.99999990
4,5,1,488.28167472,514.89137833,49.99999990
5,5,1,480.92885372,478.71343032,49.99999990
